emotion,frame,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
Happiness,29,0.0,0.0,0.0,0.0,1.8,1.99,0.0,2.45,3.79,1.42,0.0,0.35,0.0,0.47,0.32,0.0,0.58
Happiness,30,0.0,0.0,0.01,0.0,1.77,2.0,0.0,2.58,3.86,1.23,0.0,0.54,0.0,0.74,0.37,0.0,0.5
Happiness,31,0.0,0.0,0.01,0.01,1.8,2.42,0.0,2.63,3.85,1.22,0.0,0.53,0.0,0.85,0.34,0.0,0.45
Happiness,32,0.0,0.0,0.08,0.01,1.82,2.7,0.0,2.54,3.78,1.28,0.0,0.4,0.01,0.91,0.32,0.0,0.29
Happiness,33,0.0,0.0,0.15,0.01,1.79,2.78,0.0,2.4,3.65,1.38,0.0,0.38,0.14,1.06,0.2,0.0,0.12
Happiness,34,0.0,0.0,0.27,0.0,1.77,2.66,0.0,2.33,3.56,1.46,0.0,0.41,0.2,1.23,0.23,0.0,0.0
Happiness,35,0.0,0.0,0.34,0.0,1.77,2.56,0.0,2.39,3.55,1.53,0.0,0.47,0.21,1.34,0.2,0.0,0.0
Happiness,36,0.0,0.0,0.39,0.0,1.79,2.55,0.0,2.48,3.56,1.59,0.0,0.41,0.09,1.38,0.31,0.0,0.0
Happiness,37,0.0,0.0,0.34,0.0,1.73,2.56,0.0,2.47,3.54,1.6,0.0,0.36,0.05,1.44,0.28,0.0,0.0
Happiness,38,0.0,0.0,0.33,0.16,1.62,2.27,0.0,2.31,3.47,1.53,0.0,0.29,0.04,1.6,0.27,0.0,0.0
Happiness,39,0.0,0.0,0.29,0.16,1.45,1.84,0.05,2.17,3.42,1.45,0.0,0.25,0.03,1.65,0.24,0.02,0.0
Happiness,40,0.0,0.0,0.35,0.17,1.29,1.32,0.08,1.99,3.37,1.41,0.0,0.27,0.0,1.68,0.23,0.02,0.0
Happiness,41,0.0,0.0,0.31,0.0,1.14,1.01,0.08,1.98,3.31,1.48,0.0,0.36,0.0,1.67,0.2,0.04,0.0
Happiness,42,0.0,0.0,0.4,0.13,1.12,0.96,0.08,1.98,3.27,1.52,0.0,0.46,0.0,1.73,0.17,0.02,0.0
Happiness,43,0.0,0.0,0.53,0.39,1.22,0.99,0.12,2.09,3.26,1.57,0.0,0.5,0.0,1.73,0.21,0.0,0.0
Happiness,1,0.59,0.5,0.0,0.68,0.26,0.0,0.0,0.0,1.49,1.68,0.0,0.22,0.0,0.63,0.11,0.37,0.11
Happiness,2,0.47,0.54,0.0,0.35,0.48,0.0,0.0,0.0,1.59,1.78,0.0,0.08,0.0,0.37,0.1,0.4,0.19
Happiness,3,0.42,0.58,0.0,0.24,0.58,0.0,0.0,0.13,1.64,1.8,0.0,0.08,0.0,0.24,0.06,0.39,0.23
Happiness,4,0.37,0.47,0.0,0.16,0.74,0.01,0.0,0.18,1.72,1.94,0.0,0.1,0.0,0.23,0.05,0.35,0.34
Happiness,5,0.25,0.42,0.0,0.11,0.85,0.02,0.0,0.22,1.82,1.97,0.0,0.1,0.0,0.17,0.06,0.23,0.5
Happiness,6,0.14,0.3,0.0,0.0,0.97,0.14,0.0,0.09,1.93,2.13,0.0,0.03,0.0,0.12,0.18,0.17,0.71
Happiness,7,0.09,0.33,0.0,0.0,0.97,0.12,0.0,0.06,1.95,2.15,0.0,0.01,0.0,0.07,0.31,0.21,0.7
Happiness,8,0.15,0.36,0.0,0.0,1.04,0.11,0.0,0.05,1.94,2.3,0.0,0.08,0.0,0.05,0.33,0.25,0.64
Happiness,9,0.18,0.28,0.0,0.0,1.12,0.0,0.0,0.08,1.9,2.35,0.0,0.1,0.0,0.01,0.26,0.29,0.59
Happiness,10,0.23,0.11,0.0,0.0,1.15,0.1,0.0,0.13,1.92,2.39,0.0,0.19,0.0,0.01,0.13,0.24,0.41
Happiness,11,0.15,0.0,0.0,0.0,1.12,0.1,0.0,0.11,1.92,2.36,0.0,0.22,0.0,0.01,0.11,0.16,0.26
Happiness,12,0.09,0.0,0.0,0.0,1.07,0.1,0.0,0.09,1.95,2.43,0.0,0.31,0.0,0.01,0.07,0.1,0.02
Happiness,13,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.04,1.96,2.46,0.0,0.31,0.0,0.0,0.09,0.21,0.03
Happiness,14,0.01,0.05,0.0,0.0,0.99,0.0,0.0,0.14,1.94,2.68,0.0,0.35,0.0,0.0,0.04,0.18,0.03
Happiness,15,0.01,0.05,0.0,0.0,0.97,0.0,0.0,0.18,1.93,2.67,0.0,0.32,0.0,0.0,0.03,0.2,0.1
Happiness,16,0.01,0.05,0.0,0.0,0.95,0.0,0.0,0.15,1.93,2.68,0.0,0.32,0.0,0.0,0.0,0.15,0.15
Happiness,17,0.0,0.0,0.0,0.05,0.98,0.0,0.0,0.1,1.98,2.53,0.0,0.34,0.0,0.0,0.0,0.2,0.23
Happiness,18,0.0,0.0,0.0,0.08,1.02,0.0,0.0,0.07,2.02,2.59,0.0,0.4,0.0,0.0,0.0,0.18,0.15
Happiness,19,0.0,0.0,0.0,0.08,1.08,0.0,0.0,0.17,2.03,2.64,0.0,0.34,0.0,0.0,0.03,0.13,0.08
Happiness,20,0.0,0.0,0.0,0.03,1.07,0.0,0.0,0.13,2.01,2.7,0.0,0.29,0.0,0.0,0.1,0.07,0.0
Happiness,21,0.0,0.0,0.0,0.02,1.06,0.0,0.0,0.15,2.0,2.57,0.0,0.31,0.01,0.02,0.13,0.08,0.0
Happiness,22,0.0,0.0,0.0,0.06,1.06,0.0,0.0,0.13,1.98,2.44,0.0,0.34,0.05,0.04,0.13,0.04,0.0
Happiness,23,0.0,0.0,0.03,0.06,1.08,0.0,0.0,0.24,1.99,2.35,0.0,0.34,0.06,0.04,0.13,0.05,0.0
Happiness,24,0.0,0.0,0.03,0.04,1.11,0.02,0.0,0.34,2.01,2.45,0.0,0.27,0.05,0.02,0.1,0.05,0.0
Happiness,25,0.0,0.0,0.03,0.0,1.12,0.02,0.0,0.42,2.03,2.59,0.0,0.28,0.01,0.01,0.1,0.1,0.0
Happiness,26,0.0,0.0,0.0,0.0,1.1,0.02,0.0,0.41,2.03,2.6,0.0,0.21,0.01,0.0,0.04,0.14,0.0
Happiness,27,0.0,0.05,0.0,0.0,1.09,0.01,0.0,0.38,1.97,2.54,0.0,0.17,0.02,0.0,0.08,0.13,0.02
Happiness,28,0.06,0.19,0.04,0.0,1.13,0.0,0.0,0.38,1.96,2.54,0.0,0.16,0.02,0.0,0.06,0.16,0.02
Happiness,29,0.06,0.24,0.04,0.0,1.15,0.0,0.0,0.46,1.97,2.59,0.0,0.18,0.02,0.0,0.05,0.17,0.02
Happiness,30,0.06,0.19,0.04,0.0,1.11,0.0,0.0,0.55,2.02,2.59,0.0,0.23,0.03,0.0,0.05,0.18,0.0
Happiness,31,0.0,0.05,0.0,0.0,1.06,0.0,0.0,0.57,2.03,2.46,0.0,0.23,0.03,0.0,0.13,0.11,0.0
Happiness,32,0.07,0.0,0.0,0.0,1.09,0.0,0.0,0.54,2.02,2.36,0.0,0.33,0.02,0.04,0.13,0.06,0.0
Happiness,33,0.07,0.0,0.03,0.0,1.16,0.0,0.0,0.48,2.06,2.32,0.0,0.41,0.0,0.12,0.09,0.05,0.0
Happiness,34,0.07,0.0,0.09,0.04,1.16,0.0,0.0,0.42,2.08,2.36,0.0,0.45,0.0,0.19,0.0,0.02,0.0
Happiness,35,0.0,0.0,0.09,0.04,1.12,0.0,0.0,0.42,2.09,2.35,0.0,0.39,0.02,0.22,0.0,0.02,0.05
Happiness,36,0.0,0.0,0.06,0.04,1.09,0.0,0.0,0.45,2.07,2.34,0.0,0.36,0.03,0.18,0.0,0.02,0.05
Happiness,37,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.47,2.07,2.41,0.02,0.36,0.03,0.11,0.01,0.02,0.05
Happiness,38,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.44,2.09,2.51,0.02,0.33,0.02,0.05,0.04,0.01,0.0
Happiness,39,0.0,0.0,0.02,0.0,1.14,0.01,0.0,0.39,2.09,2.61,0.02,0.32,0.06,0.01,0.04,0.0,0.0
Happiness,40,0.0,0.0,0.12,0.0,1.15,0.01,0.0,0.43,2.09,2.56,0.0,0.26,0.11,0.01,0.03,0.0,0.0
Happiness,41,0.02,0.0,0.2,0.0,1.22,0.01,0.0,0.5,2.11,2.55,0.0,0.26,0.11,0.01,0.01,0.0,0.0
Happiness,42,0.02,0.0,0.26,0.0,1.33,0.0,0.0,0.52,2.12,2.53,0.0,0.2,0.05,0.0,0.05,0.04,0.06
Happiness,43,0.02,0.0,0.16,0.0,1.39,0.01,0.0,0.49,2.11,2.61,0.0,0.21,0.0,0.0,0.12,0.05,0.19
Happiness,44,0.0,0.0,0.12,0.0,1.37,0.06,0.07,0.44,2.09,2.63,0.0,0.16,0.04,0.0,0.11,0.05,0.24
Happiness,45,0.03,0.0,0.22,0.0,1.39,0.12,0.17,0.45,2.07,2.68,0.0,0.18,0.1,0.0,0.07,0.01,0.18
Happiness,46,0.07,0.0,0.23,0.0,1.5,0.23,0.23,0.51,2.09,2.73,0.0,0.12,0.23,0.0,0.06,0.01,0.05
Happiness,47,0.12,0.0,0.31,0.0,1.61,0.22,0.2,0.65,2.11,2.7,0.0,0.13,0.28,0.0,0.08,0.01,0.01
Happiness,48,0.09,0.0,0.24,0.0,1.63,0.16,0.17,0.74,2.12,2.63,0.08,0.07,0.27,0.0,0.1,0.01,0.01
Happiness,49,0.13,0.02,0.39,0.0,1.59,0.04,0.17,0.73,2.11,2.5,0.09,0.07,0.18,0.0,0.06,0.0,0.0
Happiness,50,0.21,0.02,0.39,0.0,1.55,0.0,0.18,0.59,2.08,2.42,0.09,0.07,0.16,0.0,0.08,0.0,0.01
Happiness,51,0.25,0.02,0.3,0.0,1.53,0.0,0.15,0.52,2.09,2.39,0.01,0.07,0.1,0.0,0.1,0.04,0.08
Happiness,52,0.19,0.01,0.2,0.0,1.53,0.01,0.09,0.47,2.1,2.38,0.0,0.11,0.07,0.0,0.09,0.07,0.08
Happiness,53,0.1,0.05,0.13,0.0,1.47,0.01,0.04,0.45,2.12,2.41,0.0,0.18,0.0,0.0,0.06,0.18,0.07
Happiness,54,0.14,0.05,0.16,0.0,1.42,0.01,0.0,0.43,2.12,2.4,0.03,0.24,0.03,0.0,0.04,0.23,0.0
Happiness,55,0.18,0.13,0.22,0.0,1.39,0.0,0.0,0.48,2.14,2.43,0.04,0.26,0.03,0.0,0.1,0.26,0.0
Happiness,56,0.23,0.14,0.34,0.0,1.42,0.0,0.0,0.54,2.15,2.45,0.06,0.26,0.05,0.0,0.1,0.27,0.0
Happiness,57,0.17,0.14,0.28,0.0,1.47,0.0,0.0,0.56,2.19,2.51,0.07,0.25,0.03,0.06,0.16,0.28,0.0
Happiness,58,0.16,0.11,0.17,0.0,1.43,0.0,0.0,0.49,2.14,2.5,0.07,0.24,0.04,0.06,0.13,0.27,0.0
Happiness,59,0.13,0.05,0.0,0.0,1.37,0.0,0.0,0.44,2.12,2.49,0.06,0.17,0.02,0.06,0.15,0.19,0.0
Happiness,60,0.11,0.05,0.0,0.0,1.28,0.0,0.0,0.4,2.06,2.49,0.03,0.08,0.0,0.0,0.2,0.12,0.0
Happiness,61,0.06,0.0,0.04,0.0,1.28,0.0,0.0,0.38,2.07,2.56,0.01,0.09,0.0,0.0,0.24,0.15,0.0
Happiness,62,0.0,0.0,0.09,0.0,1.21,0.0,0.0,0.28,2.04,2.6,0.0,0.08,0.0,0.03,0.23,0.11,0.0
Happiness,63,0.05,0.0,0.21,0.0,1.16,0.0,0.0,0.22,2.03,2.67,0.0,0.1,0.01,0.05,0.17,0.14,0.0
Happiness,64,0.1,0.0,0.25,0.0,1.07,0.0,0.02,0.22,2.02,2.66,0.02,0.09,0.01,0.07,0.12,0.13,0.0
Happiness,65,0.18,0.0,0.26,0.0,1.04,0.0,0.02,0.29,2.02,2.73,0.14,0.22,0.01,0.04,0.1,0.2,0.0
Happiness,66,0.13,0.0,0.22,0.0,1.07,0.0,0.02,0.33,2.01,2.66,0.14,0.24,0.0,0.04,0.04,0.23,0.0
Happiness,67,0.08,0.0,0.13,0.0,1.06,0.0,0.0,0.39,1.95,2.57,0.13,0.25,0.06,0.07,0.04,0.24,0.0
Happiness,68,0.02,0.0,0.15,0.0,1.05,0.0,0.0,0.37,1.9,2.45,0.01,0.17,0.08,0.09,0.05,0.31,0.0
Happiness,69,0.02,0.0,0.17,0.0,1.03,0.0,0.0,0.37,1.87,2.43,0.04,0.17,0.12,0.06,0.08,0.3,0.0
Happiness,70,0.13,0.0,0.37,0.02,1.05,0.0,0.0,0.29,1.87,2.48,0.08,0.17,0.09,0.02,0.09,0.35,0.0
Happiness,71,0.14,0.04,0.53,0.04,1.11,0.0,0.0,0.28,1.91,2.61,0.16,0.23,0.11,0.0,0.11,0.34,0.0
Happiness,72,0.21,0.04,0.61,0.04,1.14,0.0,0.01,0.22,1.92,2.77,0.13,0.29,0.09,0.0,0.07,0.37,0.0
Happiness,73,0.1,0.04,0.57,0.02,1.13,0.0,0.03,0.22,1.89,2.77,0.09,0.35,0.15,0.0,0.06,0.28,0.0
Happiness,74,0.12,0.0,0.44,0.0,1.1,0.0,0.04,0.16,1.89,2.72,0.01,0.35,0.11,0.02,0.04,0.16,0.03
Happiness,75,0.1,0.0,0.33,0.0,1.07,0.0,0.05,0.2,1.89,2.69,0.01,0.33,0.11,0.02,0.06,0.11,0.12
Happiness,76,0.15,0.0,0.32,0.04,1.07,0.0,0.03,0.16,1.92,2.81,0.01,0.29,0.02,0.02,0.03,0.11,0.17
Happiness,77,0.12,0.0,0.38,0.1,1.08,0.0,0.02,0.15,1.89,2.9,0.0,0.25,0.02,0.0,0.03,0.13,0.23
Happiness,78,0.16,0.0,0.52,0.1,1.11,0.0,0.04,0.13,1.86,2.83,0.0,0.26,0.0,0.0,0.04,0.14,0.15
Happiness,79,0.18,0.0,0.6,0.06,1.12,0.01,0.07,0.12,1.87,2.8,0.08,0.28,0.0,0.0,0.04,0.19,0.1
Happiness,80,0.24,0.0,0.71,0.09,1.16,0.11,0.14,0.11,1.87,2.76,0.12,0.29,0.03,0.0,0.04,0.19,0.07
Happiness,81,0.14,0.0,0.52,0.09,1.16,0.11,0.21,0.19,1.87,2.8,0.19,0.28,0.05,0.0,0.05,0.2,0.14
Happiness,82,0.08,0.0,0.34,0.09,1.17,0.11,0.27,0.26,1.85,2.76,0.18,0.23,0.07,0.0,0.05,0.16,0.27
Happiness,83,0.06,0.0,0.25,0.0,1.23,0.16,0.2,0.35,1.89,2.78,0.14,0.18,0.1,0.0,0.05,0.13,0.36
Happiness,84,0.14,0.0,0.49,0.0,1.28,0.2,0.1,0.38,1.93,2.85,0.11,0.1,0.15,0.0,0.01,0.09,0.39
Happiness,85,0.14,0.0,0.62,0.0,1.29,0.29,0.0,0.34,1.97,2.9,0.09,0.05,0.14,0.0,0.0,0.06,0.4
Happiness,86,0.08,0.0,0.55,0.0,1.27,0.13,0.05,0.34,1.95,2.89,0.17,0.05,0.09,0.0,0.0,0.06,0.34
Happiness,87,0.05,0.0,0.45,0.0,1.26,0.09,0.09,0.3,1.94,2.83,0.17,0.06,0.02,0.0,0.0,0.02,0.3
Happiness,88,0.05,0.0,0.29,0.0,1.33,0.0,0.14,0.3,1.98,2.77,0.13,0.05,0.0,0.0,0.07,0.01,0.16
Happiness,89,0.05,0.0,0.16,0.0,1.35,0.0,0.11,0.26,2.05,2.72,0.05,0.02,0.0,0.0,0.12,0.01,0.07
Happiness,90,0.0,0.0,0.09,0.0,1.38,0.0,0.15,0.31,2.09,2.63,0.0,0.0,0.0,0.0,0.22,0.01,0.0
Happiness,91,0.0,0.0,0.17,0.0,1.4,0.0,0.18,0.46,2.06,2.58,0.0,0.0,0.0,0.0,0.16,0.01,0.0
Happiness,92,0.02,0.0,0.21,0.0,1.42,0.0,0.2,0.61,2.04,2.61,0.05,0.05,0.0,0.0,0.11,0.02,0.0
Happiness,93,0.09,0.0,0.25,0.0,1.41,0.01,0.16,0.53,2.04,2.7,0.05,0.05,0.0,0.0,0.0,0.05,0.0
Happiness,94,0.09,0.0,0.23,0.0,1.41,0.01,0.09,0.44,2.05,2.76,0.04,0.09,0.0,0.02,0.0,0.05,0.0
Happiness,95,0.06,0.0,0.19,0.0,1.39,0.04,0.09,0.34,2.06,2.78,0.0,0.09,0.0,0.06,0.0,0.03,0.0
Happiness,96,0.0,0.0,0.11,0.0,1.36,0.04,0.09,0.38,2.03,2.78,0.02,0.16,0.0,0.08,0.0,0.01,0.0
Happiness,97,0.0,0.0,0.14,0.0,1.31,0.04,0.13,0.41,2.0,2.8,0.05,0.21,0.01,0.07,0.0,0.0,0.0
Happiness,98,0.03,0.0,0.24,0.0,1.36,0.01,0.14,0.37,2.01,2.79,0.05,0.24,0.01,0.1,0.0,0.0,0.0
Happiness,99,0.07,0.0,0.28,0.0,1.46,0.0,0.2,0.4,2.02,2.85,0.08,0.34,0.01,0.15,0.0,0.0,0.0
Happiness,100,0.07,0.0,0.25,0.0,1.49,0.03,0.22,0.39,2.02,2.79,0.12,0.37,0.0,0.19,0.0,0.03,0.0
Happiness,101,0.03,0.0,0.19,0.0,1.39,0.04,0.17,0.42,1.95,2.75,0.13,0.41,0.0,0.16,0.0,0.04,0.0
Happiness,102,0.0,0.0,0.12,0.0,1.3,0.09,0.07,0.37,1.93,2.63,0.09,0.36,0.0,0.13,0.0,0.06,0.0
Happiness,103,0.06,0.0,0.26,0.02,1.29,0.06,0.01,0.47,1.92,2.57,0.03,0.31,0.0,0.09,0.04,0.03,0.0
Happiness,104,0.06,0.0,0.25,0.05,1.35,0.05,0.01,0.59,1.96,2.58,0.03,0.32,0.0,0.1,0.06,0.02,0.0
Happiness,105,0.06,0.0,0.27,0.05,1.42,0.0,0.01,0.72,2.02,2.58,0.01,0.29,0.01,0.13,0.09,0.0,0.0
Happiness,106,0.0,0.0,0.26,0.07,1.46,0.02,0.0,0.69,2.08,2.75,0.04,0.32,0.05,0.19,0.06,0.0,0.0
Happiness,107,0.0,0.0,0.37,0.05,1.49,0.09,0.0,0.64,2.12,2.83,0.06,0.25,0.07,0.25,0.03,0.0,0.0
Happiness,108,0.0,0.0,0.51,0.05,1.49,0.1,0.0,0.61,2.16,2.97,0.06,0.25,0.06,0.25,0.01,0.0,0.0
Happiness,109,0.0,0.0,0.35,0.0,1.42,0.1,0.0,0.46,2.16,2.97,0.04,0.28,0.02,0.25,0.02,0.0,0.0
Happiness,110,0.04,0.05,0.4,0.02,1.36,0.09,0.0,0.39,2.15,2.98,0.01,0.28,0.0,0.15,0.07,0.0,0.0
Happiness,111,0.04,0.08,0.43,0.07,1.32,0.13,0.0,0.31,2.12,2.93,0.01,0.19,0.0,0.09,0.14,0.0,0.0
Happiness,112,0.04,0.08,0.47,0.07,1.41,0.29,0.0,0.47,2.2,2.86,0.04,0.07,0.0,0.01,0.25,0.0,0.0
Happiness,113,0.0,0.03,0.31,0.05,1.54,0.29,0.0,0.85,2.45,2.62,0.2,0.01,0.0,0.0,0.77,0.03,0.0
Happiness,114,0.0,0.0,0.15,0.0,1.64,0.31,0.0,1.24,2.69,2.4,0.31,0.01,0.0,0.0,1.47,0.17,0.0
Happiness,115,0.0,0.0,0.12,0.0,1.72,0.3,0.0,1.53,2.88,2.24,0.41,0.0,0.0,0.0,2.15,0.22,0.0
Happiness,116,0.0,0.0,0.16,0.0,1.73,0.42,0.0,1.54,2.89,2.24,0.38,0.0,0.0,0.0,2.38,0.24,0.0
Happiness,117,0.0,0.0,0.26,0.0,1.86,0.4,0.0,1.61,2.88,2.36,0.39,0.0,0.0,0.0,2.31,0.25,0.19
Happiness,118,0.02,0.0,0.37,0.0,1.99,0.49,0.0,1.67,2.86,2.55,0.4,0.0,0.0,0.0,2.22,0.2,0.23
Happiness,119,0.02,0.0,0.35,0.0,2.07,0.48,0.02,1.63,2.82,2.71,0.31,0.0,0.0,0.0,2.16,0.21,0.38
Happiness,120,0.02,0.04,0.3,0.0,2.08,0.7,0.02,1.6,2.79,2.85,0.23,0.0,0.0,0.0,2.23,0.19,0.32
Happiness,121,0.0,0.08,0.23,0.0,2.05,0.66,0.02,1.56,2.77,2.89,0.12,0.0,0.0,0.0,2.27,0.29,0.41
Happiness,122,0.0,0.16,0.26,0.0,2.05,0.72,0.0,1.59,2.75,2.89,0.14,0.0,0.0,0.0,2.3,0.29,0.35
Happiness,123,0.0,0.12,0.16,0.0,1.99,0.74,0.0,1.58,2.8,2.79,0.14,0.0,0.0,0.0,2.23,0.17,0.21
Happiness,124,0.0,0.07,0.13,0.0,1.95,0.94,0.0,1.59,2.84,2.74,0.13,0.0,0.0,0.0,2.23,0.07,0.25
Happiness,125,0.0,0.09,0.06,0.06,1.9,0.92,0.0,1.64,2.97,2.79,0.1,0.0,0.0,0.0,2.18,0.0,0.75
Happiness,126,0.01,0.18,0.11,0.09,1.89,0.89,0.0,1.67,3.03,2.9,0.12,0.0,0.0,0.0,2.22,0.0,1.35
Happiness,127,0.06,0.3,0.05,0.09,1.9,0.59,0.0,1.7,3.12,2.86,0.15,0.0,0.0,0.0,2.22,0.0,1.76
Happiness,128,0.06,0.21,0.05,0.03,1.95,0.59,0.0,1.64,3.08,2.83,0.11,0.0,0.0,0.0,2.19,0.0,1.41
Happiness,129,0.05,0.12,0.0,0.0,2.0,0.52,0.0,1.6,3.02,2.73,0.05,0.0,0.0,0.0,2.09,0.02,1.06
Happiness,130,0.0,0.01,0.0,0.01,1.98,0.64,0.0,1.48,2.97,2.66,0.08,0.0,0.0,0.0,1.93,0.02,0.53
Happiness,131,0.0,0.03,0.0,0.02,1.9,0.71,0.0,1.4,3.03,2.48,0.25,0.0,0.0,0.0,1.83,0.02,0.09
Happiness,1,0.0,0.05,0.07,0.0,1.17,0.0,0.0,2.92,3.02,2.56,0.43,0.5,0.52,0.34,0.16,0.5,0.0
Happiness,2,0.0,0.1,0.02,0.0,1.21,0.0,0.0,2.92,3.05,2.63,0.38,0.39,0.27,0.13,0.26,0.45,0.0
Happiness,3,0.0,0.08,0.0,0.0,1.22,0.0,0.04,2.91,3.08,2.79,0.34,0.42,0.19,0.01,0.35,0.52,0.0
Happiness,4,0.0,0.05,0.0,0.0,1.23,0.0,0.06,2.92,3.13,2.84,0.3,0.49,0.16,0.0,0.44,0.43,0.0
Happiness,5,0.0,0.0,0.0,0.0,1.22,0.0,0.06,2.92,3.18,2.86,0.24,0.45,0.11,0.0,0.42,0.36,0.0
Happiness,6,0.0,0.0,0.0,0.0,1.2,0.0,0.06,2.88,3.18,2.84,0.18,0.36,0.01,0.0,0.49,0.31,0.0
Happiness,7,0.0,0.0,0.0,0.0,1.19,0.0,0.08,2.88,3.19,2.83,0.09,0.28,0.0,0.01,0.57,0.4,0.0
Happiness,8,0.0,0.0,0.0,0.0,1.17,0.0,0.08,2.85,3.16,2.86,0.1,0.33,0.0,0.01,0.67,0.45,0.0
Happiness,9,0.0,0.0,0.0,0.0,1.17,0.0,0.04,2.92,3.16,2.8,0.12,0.36,0.03,0.01,0.63,0.27,0.0
